Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;G. & S. PETROLEO LTDA; 10.919.164/0001-70;AVENIDA SANTOS DUMONT;480;;VILA OPERARIA;64002-200;GASOLINA;29/04/2026;6,64;;R$ / litro;VIBRA
NE;PI;TERESINA;G. & S. PETROLEO LTDA; 10.919.164/0001-70;AVENIDA SANTOS DUMONT;480;;VILA OPERARIA;64002-200;ETANOL;29/04/2026;4,99;;R$ / litro;VIBRA
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;GASOLINA;28/04/2026;6,69;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;GASOLINA ADITIVADA;28/04/2026;6,89;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;DIESEL;28/04/2026;7,59;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;DIESEL S10;28/04/2026;7,69;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;ETANOL;28/04/2026;4,99;;R$ / litro;SABBÁ
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0018-91;RUA OLAVO BILAC;989;SUL;CENTRO;64001-280;GASOLINA;28/04/2026;6,69;;R$ / litro;VIBRA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0018-91;RUA OLAVO BILAC;989;SUL;CENTRO;64001-280;GASOLINA ADITIVADA;28/04/2026;6,99;;R$ / litro;VIBRA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0018-91;RUA OLAVO BILAC;989;SUL;CENTRO;64001-280;ETANOL;28/04/2026;4,99;;R$ / litro;VIBRA
NE;PI;TERESINA;POSTO MAIS SAO JOAQUIM LTDA; 10.405.299/0001-18;RUA RUI BARBOSA;4499;;SAO JOAQUIM;64002-180;GASOLINA;29/04/2026;6,79;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO MAIS SAO JOAQUIM LTDA; 10.405.299/0001-18;RUA RUI BARBOSA;4499;;SAO JOAQUIM;64002-180;ETANOL;29/04/2026;4,95;;R$ / litro;SABBÁ
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;GASOLINA;28/04/2026;6,69;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;GASOLINA ADITIVADA;28/04/2026;7,19;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;DIESEL;28/04/2026;7,59;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;DIESEL S10;28/04/2026;7,69;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;ETANOL;28/04/2026;4,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0021-97;AVENIDA PREFEITO WALL FERRAZ;15900;;ANGELIM;64040-840;GASOLINA;30/04/2026;6,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0021-97;AVENIDA PREFEITO WALL FERRAZ;15900;;ANGELIM;64040-840;DIESEL;30/04/2026;7,79;;R$ / litro;IPIRANGA
